Time(ms),MotorCurrent,Position,Velocity,Acceleration
21503,173.00,102,1955.28,-141.43
21514,58.00,124,1875.53,-6798.87
21526,299.00,146,1870.75,-406.85
21538,128.00,165,1620.47,-21345.78
21550,120.00,187,1871.23,21328.28
21561,188.00,207,1704.45,-14213.14
21573,66.00,228,1785.56,6896.85
21585,328.00,252,2041.34,21755.09
21597,1.00,274,1872.98,-14333.31
21608,96.00,299,2128.02,21709.55
21620,200.00,323,2038.91,-7570.52
21635,175.00,356,2201.17,10823.42
21647,170.00,384,2350.37,12524.10
21659,152.00,109,-22557.62,-2043146.42
21671,130.00,180,5808.25,2320506.43
21683,89.00,206,2178.28,-304118.79
21695,194.00,231,2099.43,-6622.04
21707,205.00,255,2018.84,-6778.80
21719,83.00,282,2265.29,20676.92
21731,270.00,311,2433.29,14096.62
21745,21.00,342,2226.05,-14881.67
21757,232.00,369,2266.81,3422.06
21769,2.00,395,2185.61,-6826.12
21781,137.00,420,2101.19,-7094.90
21792,145.00,445,2099.43,-148.18
21808,34.00,478,2182.83,5516.57
21819,187.00,500,1852.16,-27838.42
21831,2.00,527,2266.05,34736.68
21843,105.00,554,2266.81,63.89
21855,267.00,15,-45305.54,-3998684.66
21867,146.00,42,2254.51,3971279.91
21879,193.00,70,2349.78,7995.37
21891,68.00,99,2430.85,6795.04
21903,263.00,130,2596.10,13838.95
21915,93.00,159,2432.89,-13692.25
21927,169.00,187,2357.30,-6363.59
21939,55.00,213,2186.34,-14375.67
21951,202.00,240,2263.20,6442.44
21962,1.00,268,2349.19,7214.39
21974,119.00,18,-20980.19,-1957820.16
21990,173.00,3,-989.05,1318155.10
22001,31.00,32,2435.75,287653.38
22013,220.00,59,2269.86,-13945.81
22025,2.00,5,-4546.60,-573921.36
22037,87.00,6,84.15,389695.91
22049,230.00,0,-509.34,-50381.30
22061,195.00,0,0.00,43105.78
22072,7.00,3,254.82,21644.47
22084,223.00,10,588.88,28102.82
22096,1.00,16,503.99,-7130.51
22110,230.00,27,783.92,19949.58
22122,2.00,18,-757.19,-129658.07
22134,80.00,44,2186.16,247486.19
22146,281.00,69,2103.67,-6941.36
22158,122.00,14,-4624.96,-565811.20
22173,184.00,17,198.44,319049.93
22185,153.00,10,-588.58,-66175.10
22197,22.00,13,251.85,70553.09
22209,275.00,38,2109.35,156724.75
22221,3.00,60,1854.19,-21504.90
22232,24.00,81,1769.61,-7127.31
